closed_date,stock_name,closed_price,closed_volume,news_id,news_date,news_title,news_desc
17/02/2017,AMZN,845.07,3112275.0,20170217-00600,17/02/2017,Amazon Thinking About Parachuting Packages From Drones,Amazon Thinking About Parachuting Packages From Drones
16/02/2017,AAPL,135.345,22584555.0,,,,
16/02/2017,GOOG,824.16,1287626.0,20170216-01852,16/02/2017,Alphabet Scraps Plan To Blanket Globe With Internet Balloons,Alphabet Scraps Plan To Blanket Globe With Internet Balloons
16/02/2017,GOOG,0,0,20170216-01853,16/02/2017,Alphabet Scraps Plan To Blanket Globe With Internet Balloons,Alphabet Scraps Plan To Blanket Globe With Internet Balloons
16/02/2017,GOOG,0,0,20170216-01003,16/02/2017,Google Fiber Laying Off Workers In Restructuring,Google Fiber Laying Off Workers In Restructuring
16/02/2017,AMZN,844.14,2714667.0,,,,
15/02/2017,AAPL,135.51,35623100.0,,,,
15/02/2017,GOOG,818.98,1313617.0,20170215-00003,15/02/2017,Disney Parts Ways With Pewdiepie After Anti-Semitic Stunt,Disney Parts Ways With Pewdiepie After Anti-Semitic Stunt
15/02/2017,AMZN,842.7,2968853.0,,,,
14/02/2017,AAPL,135.02,33226223.0,20170214-01749,14/02/2017,Apple Reportedly Considers Chinese Supplier For Next-Gen IPhone Screens,Apple Reportedly Considers Chinese Supplier For Next-Gen IPhone Screens
14/02/2017,GOOG,820.45,1054732.0,,,,
14/02/2017,AMZN,836.39,2792442.0,,,,
13/02/2017,AAPL,133.29,23035421.0,20170213-01419,13/02/2017,Apple Shares Closed At New All-time High,Apple Shares Closed At New All-time High
13/02/2017,AAPL,0,0,20170213-00345,13/02/2017,"ParkerVision Amends German Case Against Apple, Adds IPhone 7 Devices","ParkerVision Amends German Case Against Apple, Adds IPhone 7 Devices"
13/02/2017,GOOG,819.24,1213324.0,20170213-01419,13/02/2017,Apple Shares Closed At New All-time High,Apple Shares Closed At New All-time High
13/02/2017,AMZN,836.53,4172618.0,,,,
10/02/2017,AAPL,132.12,20065458.0,,,,
10/02/2017,GOOG,813.67,1134976.0,20170210-00572,10/02/2017,Netflix Show 'Dear White People' Prompts Calls For Boycott,Netflix Show 'Dear White People' Prompts Calls For Boycott
10/02/2017,AMZN,827.46,2429609.0,20170210-00005,10/02/2017,Sony Electronics: UBP-X800 4K Ultra HD Blu-ray Player Now Available For Pre-sale,Sony Electronics: UBP-X800 4K Ultra HD Blu-ray Player Now Available For Pre-sale
09/02/2017,AAPL,132.42,28349859.0,,,,
09/02/2017,GOOG,809.56,990391.0,,,,
09/02/2017,AMZN,821.36,2484948.0,,,,
08/02/2017,AAPL,132.04,23004072.0,,,,
08/02/2017,GOOG,808.38,1155990.0,,,,
08/02/2017,AMZN,819.71,2857985.0,,,,
07/02/2017,AAPL,131.53,38183841.0,20170207-01795,07/02/2017,Apple Reportedly Appoints Amazon's Fire TV Head To Run Apple TV Business,Apple Reportedly Appoints Amazon's Fire TV Head To Run Apple TV Business
07/02/2017,AAPL,0,0,20170207-01175,07/02/2017,European Markets Finished Mixed As Political Concerns Weighed On Sentiment,European Markets Finished Mixed As Political Concerns Weighed On Sentiment
07/02/2017,AAPL,0,0,20170207-00168,07/02/2017,"European Shares Steady Despite Mixed Earnings, Weak Data","European Shares Steady Despite Mixed Earnings, Weak Data"
07/02/2017,GOOG,806.97,1241221.0,,,,
07/02/2017,AMZN,812.5,3466091.0,20170207-01795,07/02/2017,Apple Reportedly Appoints Amazon's Fire TV Head To Run Apple TV Business,Apple Reportedly Appoints Amazon's Fire TV Head To Run Apple TV Business
06/02/2017,AAPL,130.29,26845924.0,20170206-01348,06/02/2017,Tech Titans Take Stand Against Trump Muslim Ban,Tech Titans Take Stand Against Trump Muslim Ban
06/02/2017,GOOG,801.34,1184483.0,20170206-01348,06/02/2017,Tech Titans Take Stand Against Trump Muslim Ban,Tech Titans Take Stand Against Trump Muslim Ban
06/02/2017,AMZN,807.64,3897301.0,,,,
03/02/2017,AAPL,129.08,24507301.0,,,,
03/02/2017,GOOG,801.49,1463448.0,,,,
03/02/2017,AMZN,810.2,10868773.0,20170203-00822,03/02/2017,Amazon Climbs Off Worst Levels But Remains Firmly Negative,Amazon Climbs Off Worst Levels But Remains Firmly Negative
03/02/2017,AMZN,0,0,20170203-00577,03/02/2017,Anti-Trump Group: Boycott 70+ Retailers,Anti-Trump Group: Boycott 70+ Retailers
02/02/2017,AAPL,128.53,33710411.0,20170202-00131,02/02/2017,Asian Shares Mixed After Fed Meeting,Asian Shares Mixed After Fed Meeting
02/02/2017,GOOG,798.53,1532138.0,,,,
02/02/2017,AMZN,839.95,7350492.0,,,,
01/02/2017,AAPL,128.75,111985040.0,,,,
01/02/2017,GOOG,795.695,2029744.0,,,,
01/02/2017,AMZN,832.35,3850181.0,,,,
31/01/2017,AAPL,121.35,49200993.0,,,,
31/01/2017,GOOG,796.79,2160556.0,,,,
31/01/2017,AMZN,823.48,3137196.0,,,,
30/01/2017,AAPL,121.63,30377503.0,,,,
30/01/2017,GOOG,802.32,3246573.0,20170130-00152,30/01/2017,Tesla Sues Former Exec For Stealing Secrets,Tesla Sues Former Exec For Stealing Secrets
30/01/2017,GOOG,0,0,20170130-00046,30/01/2017,European Stocks Set To Open Weak On Lackluster Cues,European Stocks Set To Open Weak On Lackluster Cues
30/01/2017,AMZN,830.38,3747336.0,,,,
27/01/2017,AAPL,121.95,20562944.0,,,,
27/01/2017,GOOG,823.31,2965771.0,,,,
27/01/2017,AMZN,835.77,2998700.0,,,,
